Order_id,Product_id,Sales,Quantity,discount,profit,payment_type,payment_installments
CA-2015-149083,FUR-CH-10004289,307.136,4,0.2,-11.5176,credit_card,6
CA-2016-119963,OFF-PA-10001970,19.648,2,0.2,6.6312,credit_card,2
CA-2014-126193,OFF-BI-10004632,304.99,5,0.8,-533.7325,credit_card,1
CA-2016-145177,OFF-PA-10001776,$22.25,3,0.2,7.5087,credit_card,3
US-2015-126977,TEC-AC-10003033,$659.90,2,0.0,217.767,credit_card,6
CA-2014-112291,OFF-EN-10001415,11.16,2,0.0,5.58,credit_card,4
CA-2014-125731,FUR-CH-10003973,1487.04,5,0.2,148.704,credit_card,1
CA-2017-109085,OFF-BI-10001525,$5.71,5,0.7,-4.7625,credit_card,8
CA-2015-109470,OFF-BI-10004492,94.74,3,0.0,44.5278,credit_card,1
CA-2016-139010,OFF-BI-10002309,31.248,7,0.2,10.9368,?,2
CA-2016-130400,OFF-BI-10001757,8.856,9,0.8,-14.1696,credit_card,1
CA-2017-152912,OFF-BI-10004728,9.64,2,0.0,4.4344,credit_card,2
CA-2017-168403,OFF-PA-10002036,$31.10,6,0.2,11.2752,credit_card,10
CA-2017-102771,TEC-PH-10001536,84.95,5,0.0,22.087,credit_card,1
CA-2017-166198,TEC-AC-10000521,11.54,1,0.0,3.462,?,1
CA-2016-152800,OFF-EN-10001509,6.12,3,0.0,2.8764,credit_card,10
CA-2014-123925,OFF-AR-10002952,40.05,3,0.0,11.214,credit_card,2
CA-2017-143259,OFF-BI-10003684,$52.78,3,0.2,19.791,credit_card,10
CA-2017-161018,FUR-FU-10000629,96.53,7,0.0,40.5426,credit_card,5
CA-2015-110863,FUR-CH-10002073,1323.9,5,0.0,383.931,credit_card,4
US-2015-110163,OFF-AR-10001683,7.88,1,0.2,1.773,?,6
CA-2017-106831,TEC-PH-10001700,158.376,4,0.4,-34.3148,credit_card,3
CA-2017-166415,OFF-FA-10004968,11.22,3,0.0,0.2244,credit_card,10
CA-2014-164469,TEC-PH-10002115,263.96,5,0.2,19.797,?,2
CA-2016-165330,OFF-BI-10002897,5.872,2,0.2,2.1286,credit_card,3
CA-2014-159520,OFF-SU-10001664,17.14,2,0.0,4.4564,credit_card,10
CA-2017-122105,OFF-AR-10004344,95.92,8,0.0,25.8984,credit_card,8
CA-2014-128839,TEC-MA-10000029,209.97,3,0.0,90.2871,credit_card,8
CA-2017-117324,FUR-BO-10003159,459.92,4,0.0,41.3928,credit_card,1
CA-2017-123638,FUR-CH-10002647,$191.65,3,0.1,31.941,credit_card,5
CA-2016-126004,OFF-BI-10004656,1.728,1,0.2,0.6048,credit_card,8
CA-2017-163265,OFF-AR-10004078,28.032,6,0.2,3.504,credit_card,1
CA-2014-140886,OFF-AP-10000696,69.216,6,0.2,11.2476,credit_card,2
US-2014-164406,OFF-BI-10003638,46.44,3,0.2,15.093,credit_card,2
CA-2016-106530,OFF-PA-10004451,10.368,2,0.2,3.6288,credit_card,7
CA-2017-140627,OFF-AR-10000422,12.264,7,0.2,1.0731,credit_card,8
CA-2015-149713,OFF-PA-10001450,19.92,4,0.0,9.7608,credit_card,3
CA-2015-166947,FUR-CH-10004997,1522.638,9,0.1,169.182,credit_card,2
CA-2017-147032,OFF-PA-10003256,11.54,1,0.0,5.5392,credit_card,5
CA-2016-128531,TEC-AC-10002049,297.576,3,0.2,-7.4394,credit_card,3
CA-2017-156139,OFF-BI-10004233,38.376,3,0.2,13.4316,credit_card,2
CA-2017-157112,OFF-PA-10001804,5.344,1,0.2,1.8704,credit_card,3
CA-2015-117415,FUR-CH-10004218,212.058,3,0.3,-15.147,credit_card,8
CA-2014-156433,OFF-PA-10003724,21.72,4,0.0,10.6428,credit_card,8
CA-2017-161459,OFF-PA-10002377,34.08,6,0.0,15.336,credit_card,3
CA-2014-124079,FUR-FU-10002553,87.96,3,0.2,7.6965,credit_card,6
CA-2015-116260,OFF-AR-10003732,11.12,4,0.0,2.8912,credit_card,10
CA-2017-146024,OFF-SU-10001935,$6.98,4,0.2,-1.3952,credit_card,8
CA-2016-124016,FUR-FU-10004963,28.0,4,0.2,7.7,credit_card,10
CA-2015-131338,FUR-FU-10002157,47.04,3,0.0,18.3456,credit_card,8
US-2014-114188,FUR-FU-10000076,139.86,7,0.0,60.1398,credit_card,10
CA-2016-140501,OFF-ST-10000060,$324.90,5,0.0,38.988,credit_card,3
CA-2015-162621,OFF-SU-10003567,69.12,9,0.2,-14.688,credit_card,3
US-2017-104955,OFF-LA-10003121,28.91,7,0.0,13.2986,credit_card,4
CA-2017-131233,FUR-BO-10003441,$242.35,3,0.2,9.0882,credit_card,4
CA-2015-148712,TEC-AC-10003198,99.6,1,0.0,36.852,credit_card,1
CA-2015-134747,TEC-PH-10002890,135.72,3,0.0,35.2872,credit_card,2
CA-2017-110940,OFF-AR-10000380,$121.54,4,0.2,15.192,?,1
US-2016-154361,FUR-FU-10004020,21.88,5,0.2,6.2905,credit_card,2
CA-2016-131737,OFF-AP-10002945,901.95,3,0.0,297.6435,credit_card,4
US-2015-137533,OFF-PA-10003441,20.736,4,0.2,7.2576,credit_card,5
CA-2016-139395,OFF-ST-10000885,26.86,2,0.0,6.715,credit_card,8
CA-2014-158771,OFF-LA-10003121,$20.65,5,0.0,9.499,?,5
US-2017-108245,OFF-EN-10001415,$13.39,3,0.2,5.022,credit_card,4
CA-2017-102729,OFF-ST-10000464,$55.62,2,0.2,5.5616,credit_card,3
CA-2017-108441,FUR-CH-10000595,$858.24,4,0.1,143.04,?,3
CA-2016-137050,OFF-FA-10002988,14.07,7,0.0,6.8943,credit_card,3
CA-2016-153661,OFF-BI-10004781,50.784,2,0.2,17.7744,credit_card,3
CA-2014-159681,OFF-PA-10003641,105.52,4,0.0,48.5392,credit_card,5
CA-2016-150350,OFF-SU-10002189,15.88,4,0.0,0.1588,credit_card,4
US-2014-112795,OFF-PA-10001934,$19.44,3,0.0,9.5256,credit_card,2
CA-2016-116232,OFF-BI-10004022,7.506,9,0.7,-6.0048,credit_card,1
