order_id,customer_id,vendor_id,ship_mode,order_status,order_purchase_date,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
CA-2017-140536,CL-12565,VEN01,1st Class,delivered,2018-05-04 11:52,2018-05-05 3:35,2018-05-07 15:01,2018-05-10 18:02,2018-06-12
CA-2017-114636,SH-19975,VEN01,Std Class,delivered,2018-01-31 9:36,2018-01-31 13:31,2018-02-01 20:29,2018-02-02 21:08,2018-02-16
CA-2015-123155,PB-19105,VEN02,1st Class,delivered,2017-10-01 22:44,2017-10-01 22:56,2017-10-02 20:18,2017-10-21 16:21,2017-10-27
CA-2017-109099,LF-17185,VEN02,,delivered,2018-06-12 8:29,2018-06-12 19:46,2018-06-18 14:22,2018-06-22 17:54,2018-07-05
CA-2014-163419,EH-14125,VEN02,2nd Class,delivered,2018-08-02 20:27,2018-08-02 20:44,2018-08-06 14:24,2018-08-09 13:34,2018-08-30
CA-2016-108364,DS-13180,VEN02,Std Class,delivered,2017-11-24 1:14,2017-11-25 4:30,2017-11-28 21:48,2017-12-01 20:17,2017-12-19
US-2015-156867,ES-14080,VEN02,Std Class,delivered,2018-04-01 18:27,2018-04-02 17:55,2018-04-03 18:25,2018-04-04 19:47,2018-04-12
CA-2016-140935,AC-10420,VEN01,1st Class,delivered,2018-02-13 17:00,2018-02-13 17:10,2018-02-15 15:13,2018-03-01 22:18,2018-03-06
US-2015-109015,EB-13840,VEN04,Std Class,delivered,2018-01-25 15:09,2018-01-26 3:16,2018-01-30 14:42,2018-02-09 21:08,2018-02-26
CA-2015-163090,SP-20545,VEN03,2nd Class,delivered,2017-10-14 19:52,2017-10-14 20:20,2017-10-16 21:00,2017-10-24 20:04,2017-11-06
CA-2017-142328,DB-13615,VEN04,Std Class,delivered,2018-05-15 15:54,2018-05-15 16:15,2018-05-16 14:22,2018-05-25 14:42,2018-06-08
CA-2014-123344,AP-10915,VEN02,Std Class,delivered,2017-10-04 23:23,2017-10-04 23:35,2017-10-05 20:47,2017-10-10 21:27,2017-10-30
CA-2017-112004,BB-10990,VEN02,1st Class,delivered,2017-11-14 18:14,2017-11-16 21:33,2017-11-23 17:38,2017-12-04 15:49,2017-12-18
CA-2014-107594,PO-19195,VEN02,Std Class,delivered,2017-08-07 14:22,2017-08-08 5:20,2017-08-09 14:36,2017-08-15 21:06,2017-08-29
CA-2015-158792,CR-12625,VEN01,Std Class,delivered,2017-08-27 20:44,2017-08-29 4:50,2017-08-29 18:26,2017-09-14 23:00,2017-10-03
CA-2016-149461,CB-12535,VEN01,Std Class,delivered,2017-11-19 16:20,2017-11-19 16:30,2017-11-20 19:41,2017-12-01 23:38,2017-12-14
CA-2017-140508,PH-18790,VEN01,1st Class,delivered,2018-01-10 9:20,2018-01-10 10:31,2018-01-11 19:51,2018-01-19 17:54,2018-02-07
CA-2015-103933,NG-18430,VEN03,1st Class,delivered,2018-04-08 9:21,2018-04-08 9:30,2018-04-09 17:41,2018-04-19 17:06,2018-05-03
CA-2016-114405,CC-12430,VEN01,Std Class,delivered,2018-06-24 18:35,2018-06-24 18:55,2018-06-26 9:28,2018-07-03 19:25,2018-07-24
US-2016-143448,KC-16675,VEN02,Same Day,delivered,2017-06-14 15:29,2017-06-15 15:25,2017-07-07 16:09,2017-07-31 18:22,2017-07-17
CA-2017-137463,Dl-13600,VEN02,2nd Class,unavailable,2017-09-27 20:51,2017-09-27 21:07,,,2017-10-24
CA-2016-133816,KC-16540,VEN01,2nd Class,delivered,2017-09-04 16:48,2017-09-04 17:04,2017-09-11 23:26,2017-09-13 17:17,2017-09-15
US-2016-146857,CW-11905,VEN02,,delivered,2018-01-26 2:51,2018-01-26 3:15,2018-01-26 14:56,2018-02-01 12:58,2018-02-19
CA-2016-157791,FH-14365,VEN03,2nd Class,delivered,2018-04-17 11:58,2018-04-17 12:31,2018-04-18 21:56,2018-04-25 12:33,2018-05-10
CA-2015-121783,RF-19735,VEN02,Std Class,delivered,2017-11-24 13:16,2017-11-25 5:59,2017-11-27 19:59,2017-12-01 0:33,2017-12-08
CA-2015-128027,JK-15640,VEN02,2nd Class,delivered,2018-01-16 10:48,2018-01-16 11:10,2018-01-17 15:48,2018-01-23 18:17,2018-02-06
CA-2016-140501,AF-10885,VEN02,Std Class,delivered,2018-08-05 17:47,2018-08-05 18:04,2018-08-08 15:24,2018-08-15 10:08,2018-08-22
CA-2014-167360,SF-20200,VEN02,2nd Class,delivered,2018-02-26 12:53,2018-02-26 13:10,2018-03-08 21:04,2018-03-14 21:16,2018-03-20
