Order_id,Product_id,Sales,Quantity,discount,payment_type,payment_installments
CA-2016-121370,TEC-CO-10004115,1199.976,4,40%,credit_card,6
CA-2014-124737,FUR-FU-10003274,4.224,3,20%,credit_card,1
CA-2017-157987,FUR-CH-10003379,1282.41,5,10%,credit_card,4
US-2017-109253,TEC-PH-10004667,431.968,4,20%,,1
CA-2016-103163,OFF-PA-10004000,4.73,1,0%,credit_card,8
CA-2017-140480,OFF-AR-10001419,28.91,7,0%,credit_card,3
CA-2017-134810,OFF-EN-10002504,65.232,3,20%,credit_card,5
CA-2016-113551,OFF-BI-10001617,2.068,1,80%,credit_card,5
CA-2017-108560,OFF-LA-10003930,786.48,8,0%,credit_card,5
CA-2014-128146,OFF-AR-10001919,3.76,2,0%,credit_card,3
CA-2014-126361,OFF-PA-10000806,447.84,8,0%,credit_card,4
CA-2017-142776,OFF-EN-10003160,7.28,1,0%,credit_card,7
CA-2017-130526,OFF-BI-10001524,33.568,8,80%,credit_card,8
CA-2014-134572,FUR-TA-10001705,744.1,5,30%,credit_card,5
CA-2015-135545,OFF-BI-10001078,25.824,6,20%,credit_card,4
CA-2017-163020,FUR-FU-10000221,35.56,7,0%,credit_card,3
CA-2017-121258,OFF-PA-10004041,29.6,4,0%,credit_card,3
CA-2014-122882,OFF-ST-10002344,64.784,1,20%,credit_card,5
CA-2014-126032,TEC-AC-10000158,86.376,3,20%,credit_card,8
CA-2017-152975,FUR-CH-10003298,589.41,5,10%,credit_card,7
CA-2017-149881,FUR-BO-10003894,482.664,8,15%,credit_card,2
US-2017-167920,OFF-ST-10004963,15.14,1,0%,credit_card,10
CA-2017-150623,OFF-ST-10003692,286.15,5,0%,credit_card,7
CA-2016-111605,OFF-LA-10002368,2.61,1,0%,credit_card,4
US-2017-119662,OFF-ST-10003656,230.376,3,20%,credit_card,4
CA-2017-156237,FUR-FU-10001057,127.936,8,20%,credit_card,3
CA-2017-153045,TEC-PH-10001817,429.6,2,40%,credit_card,1
CA-2014-162362,OFF-BI-10000546,11.52,4,0%,credit_card,4
CA-2017-164329,OFF-ST-10001511,129.3,2,0%,,1
CA-2014-130428,OFF-AR-10004027,4.032,2,20%,credit_card,1
US-2017-168116,OFF-AP-10002457,167.44,2,20%,credit_card,2
CA-2017-111332,OFF-FA-10001843,7.41,3,0%,credit_card,3
CA-2017-154816,OFF-PA-10003845,5.78,1,0%,credit_card,10
CA-2016-104276,TEC-PH-10001944,116.76,1,20%,credit_card,3
CA-2015-101924,OFF-BI-10000962,9.762,2,70%,credit_card,8
CA-2015-115798,FUR-BO-10004467,299.97,3,0%,credit_card,2
US-2014-164616,OFF-BI-10001718,76.776,4,70%,credit_card,1
US-2017-123862,OFF-ST-10002301,61.02,3,0%,credit_card,2
US-2017-155425,FUR-CH-10003312,899.136,4,20%,credit_card,1
CA-2016-124590,FUR-CH-10000454,1537.074,9,30%,credit_card,6
CA-2014-111451,FUR-FU-10004091,300.416,8,20%,credit_card,4
CA-2016-164784,OFF-BI-10002954,2.742,2,70%,credit_card,6
CA-2015-168277,OFF-LA-10004484,12.39,3,0%,credit_card,7
CA-2017-112809,OFF-BI-10001098,21.38,5,80%,credit_card,2
CA-2015-129525,OFF-BI-10002133,166.92,13,70%,credit_card,1
CA-2015-120782,OFF-AP-10003779,186.732,1,10%,credit_card,2
CA-2015-111829,OFF-ST-10000142,1247.64,3,0%,credit_card,2
CA-2017-141992,OFF-SU-10002557,11.184,1,20%,credit_card,5
CA-2017-113705,OFF-BI-10001679,17.76,2,0%,credit_card,2
US-2014-137155,OFF-PA-10000806,167.94,3,0%,credit_card,3
CA-2014-152233,TEC-AC-10002800,99.98,2,0%,credit_card,8
CA-2017-102407,OFF-AR-10000122,11.16,2,0%,credit_card,10
CA-2016-168893,FUR-FU-10002885,24.1,5,0%,credit_card,8
US-2017-146822,OFF-PA-10000249,49.12,4,0%,credit_card,3
US-2014-157385,FUR-CH-10000863,603.92,5,20%,credit_card,1
CA-2016-134936,OFF-BI-10000174,10.44,6,70%,credit_card,1
CA-2017-151281,FUR-FU-10000397,139.58,7,0%,credit_card,2
CA-2016-135776,OFF-AR-10001246,8.82,3,0%,credit_card,6
CA-2017-133648,OFF-LA-10003923,71.04,6,20%,credit_card,2
US-2017-108063,OFF-AR-10001446,34.65,3,0%,credit_card,2
CA-2017-130043,OFF-PA-10002230,31.872,8,20%,credit_card,1
CA-2015-123330,TEC-PH-10001819,107.976,3,20%,credit_card,1
CA-2017-159464,FUR-BO-10003546,302.94,3,0%,credit_card,5
CA-2017-100223,OFF-PA-10000232,15.552,3,20%,credit_card,11
CA-2016-154536,OFF-BI-10004410,9.555,5,70%,credit_card,6
CA-2015-123092,TEC-PH-10001700,105.584,2,20%,credit_card,2
CA-2014-151162,OFF-BI-10003719,29.94,4,70%,credit_card,2
US-2015-138121,FUR-CH-10004875,142.36,2,0%,credit_card,1
CA-2016-144540,OFF-FA-10002763,28.44,9,20%,credit_card,10
CA-2015-123568,OFF-BI-10001510,91.68,5,20%,credit_card,1
CA-2015-161452,FUR-CH-10003973,892.224,3,20%,credit_card,2
CA-2014-138527,OFF-PA-10001800,10.368,2,20%,credit_card,1
CA-2015-113145,TEC-AC-10001838,1399.93,7,0%,credit_card,1
CA-2015-112375,OFF-EN-10003798,27.312,2,20%,credit_card,3
CA-2017-110310,OFF-PA-10001685,56.784,7,20%,credit_card,8
CA-2015-162887,FUR-CH-10000595,715.2,3,0%,credit_card,4
US-2014-119137,TEC-AC-10003911,1023.936,8,20%,credit_card,10
CA-2014-124464,OFF-AP-10000576,39.48,1,0%,credit_card,2
CA-2017-141747,OFF-ST-10003996,16.06,1,0%,credit_card,2
CA-2014-127446,FUR-TA-10000577,1218.735,5,30%,credit_card,8
CA-2014-122567,OFF-BI-10002012,1.08,3,80%,credit_card,6
CA-2015-103135,FUR-FU-10001487,20.94,3,0%,credit_card,8
US-2016-111290,OFF-ST-10001932,965.85,5,0%,credit_card,2
CA-2017-121300,TEC-AC-10004571,239.976,3,20%,credit_card,1
US-2017-153948,OFF-PA-10000143,26.4,5,0%,credit_card,10
CA-2017-137918,OFF-SU-10000898,97.3,7,0%,credit_card,6
CA-2014-104773,OFF-ST-10000777,60.416,2,20%,credit_card,10
US-2015-137008,OFF-EN-10002500,51.12,4,0%,credit_card,10
CA-2016-111976,OFF-FA-10004968,5.984,2,20%,credit_card,7
CA-2016-143714,TEC-PH-10004080,122.382,3,40%,credit_card,8
US-2016-120929,FUR-TA-10001857,189.882,3,40%,credit_card,10
CA-2015-127481,OFF-PA-10002036,32.4,5,0%,credit_card,10
CA-2014-106054,OFF-AR-10002399,12.78,3,0%,credit_card,7
CA-2015-111017,OFF-SU-10002573,52.59,3,0%,credit_card,6
CA-2014-124688,TEC-PH-10000455,579.95,5,0%,credit_card,6
CA-2017-139913,OFF-PA-10002479,26.4,5,0%,credit_card,10
CA-2015-150770,OFF-AR-10001246,8.82,3,0%,credit_card,1
CA-2017-133823,OFF-BI-10000962,26.032,2,20%,credit_card,4
CA-2015-168564,OFF-BI-10002557,7.28,2,20%,credit_card,10
CA-2016-155516,OFF-BI-10002412,23.2,4,0%,credit_card,10
CA-2014-107755,TEC-AC-10000710,115.36,7,0%,credit_card,5
CA-2015-150511,OFF-PA-10001776,18.54,2,0%,credit_card,2
CA-2016-160241,FUR-FU-10003806,242.176,4,60%,credit_card,4
CA-2017-109960,OFF-AR-10001860,34.7,5,0%,credit_card,3
US-2015-111927,FUR-FU-10004017,76.14,3,0%,credit_card,2
CA-2016-145898,OFF-ST-10004507,51.45,3,0%,credit_card,8
CA-2015-143105,TEC-CO-10002095,799.984,2,20%,credit_card,8
CA-2017-127026,OFF-BI-10000546,14.4,5,0%,credit_card,10
CA-2016-162236,OFF-SU-10003505,185.376,2,20%,credit_card,2
CA-2017-122798,OFF-ST-10003058,118.25,5,0%,credit_card,3
CA-2014-103989,TEC-PH-10004667,323.976,3,20%,credit_card,3
US-2017-166688,OFF-AP-10000358,64.9,5,0%,credit_card,1
CA-2015-111395,OFF-ST-10001291,27.056,2,20%,credit_card,1
CA-2017-118346,TEC-AC-10000736,399.95,5,0%,credit_card,3
CA-2017-156664,OFF-PA-10002222,91.36,5,20%,credit_card,5
CA-2014-156601,OFF-FA-10000624,7.16,2,0%,credit_card,3
CA-2016-131835,OFF-AP-10004487,162.64,2,0%,credit_card,2
CA-2016-105585,OFF-PA-10003625,154.9,5,0%,credit_card,1
US-2016-103646,OFF-BI-10002854,44.848,8,80%,credit_card,2
CA-2017-143686,FUR-FU-10000794,18.28,2,0%,credit_card,2
CA-2017-122280,OFF-PA-10004911,18.76,2,0%,credit_card,8
CA-2017-100783,OFF-AR-10000380,30.384,1,20%,credit_card,10
US-2016-105452,FUR-FU-10003806,302.72,5,60%,credit_card,8
US-2015-101399,FUR-FU-10002918,254.744,7,60%,,1
CA-2014-143903,FUR-FU-10003724,16.74,5,60%,credit_card,10
US-2015-132836,OFF-BI-10004224,403.68,6,0%,credit_card,2
US-2014-165659,FUR-FU-10001935,22.2,6,0%,credit_card,4
CA-2017-146780,FUR-FU-10001934,41.96,2,0%,credit_card,4
CA-2017-127306,OFF-EN-10001219,18.336,3,20%,credit_card,11
CA-2014-103660,TEC-PH-10000895,1007.944,7,20%,credit_card,6
CA-2017-132521,OFF-BI-10000404,6.88,1,20%,credit_card,2
CA-2017-103380,OFF-AR-10003856,5.56,2,0%,credit_card,1
CA-2017-131037,FUR-TA-10001768,210.008,1,20%,credit_card,2
CA-2017-113705,OFF-ST-10001128,332.94,3,0%,credit_card,3
CA-2017-111759,OFF-PA-10003127,52.76,2,0%,credit_card,8
CA-2014-136861,FUR-FU-10001967,31.984,2,20%,credit_card,1
US-2015-160857,TEC-CO-10004115,2799.944,7,20%,credit_card,3
CA-2014-107594,OFF-AR-10000716,5.58,1,0%,credit_card,4
US-2017-124779,OFF-PA-10000061,20.736,4,20%,credit_card,1
CA-2017-106068,OFF-ST-10002344,259.136,4,20%,credit_card,2
CA-2016-153157,TEC-PH-10003171,224.75,5,0%,credit_card,8
CA-2014-127964,OFF-BI-10003429,25.32,5,20%,credit_card,8
US-2014-159926,OFF-ST-10003656,76.792,1,20%,credit_card,3
CA-2015-140830,OFF-EN-10002831,71.88,2,0%,credit_card,4
CA-2016-130400,TEC-AC-10004633,27.96,5,20%,credit_card,6
CA-2017-148474,FUR-TA-10002530,452.94,3,0%,credit_card,1
CA-2017-121419,FUR-TA-10004534,411.8,2,0%,credit_card,4
CA-2014-129168,OFF-PA-10001639,15.552,3,20%,credit_card,1
CA-2017-128363,TEC-AC-10003709,1.584,2,20%,credit_card,10
CA-2016-127138,OFF-EN-10004459,30.56,4,0%,credit_card,1
US-2017-142573,OFF-BI-10003350,7.656,4,70%,credit_card,5
CA-2014-100972,OFF-PA-10000357,166.44,3,0%,credit_card,10
CA-2015-123141,FUR-CH-10001891,230.352,3,20%,credit_card,10
CA-2015-123568,OFF-PA-10001125,92.94,3,0%,credit_card,2
CA-2015-135580,TEC-MA-10004002,2548.56,6,20%,credit_card,1
CA-2014-150581,TEC-AC-10001908,399.96,4,0%,credit_card,2
CA-2017-120404,TEC-PH-10001363,569.99,1,0%,credit_card,4
CA-2015-153878,OFF-AP-10001205,272.4,5,0%,credit_card,6
CA-2014-124513,OFF-AR-10002956,66.03,3,0%,credit_card,1
CA-2014-151379,OFF-PA-10000595,114.2,5,0%,credit_card,4
CA-2017-130211,OFF-ST-10000129,333.09,3,0%,credit_card,8
CA-2014-167927,FUR-FU-10002268,14.73,3,0%,credit_card,6
CA-2016-101329,OFF-AR-10000614,32.13,9,0%,credit_card,1
US-2015-123960,OFF-BI-10002799,36.26,7,0%,credit_card,1
US-2017-102288,OFF-PA-10000740,146.176,8,20%,credit_card,8
CA-2017-107825,FUR-FU-10000206,5.82,2,0%,credit_card,1
CA-2015-132570,OFF-AR-10000369,2.78,2,0%,credit_card,8
CA-2015-144806,FUR-FU-10002253,206.112,6,20%,credit_card,3
CA-2016-155187,OFF-PA-10000380,41.7,5,0%,credit_card,1
CA-2014-123400,TEC-PH-10002890,180.96,5,20%,credit_card,3
CA-2015-111297,OFF-BI-10002412,52.2,9,0%,credit_card,2
CA-2016-128923,OFF-AR-10000475,9.328,1,20%,credit_card,2
US-2016-166660,FUR-BO-10000468,48.58,1,0%,credit_card,3
CA-2017-105410,TEC-AC-10002926,199.96,4,0%,credit_card,2
CA-2017-145093,OFF-BI-10001116,2.112,2,80%,credit_card,10
CA-2015-135853,OFF-BI-10004965,23.0,2,0%,credit_card,4
CA-2017-154116,OFF-AP-10000027,54.32,4,0%,credit_card,2
CA-2016-128307,OFF-EN-10003040,20.936,1,20%,credit_card,3
US-2016-137547,TEC-PH-10002365,21.072,3,20%,credit_card,10
US-2015-129007,FUR-FU-10004973,131.88,7,0%,credit_card,1
CA-2015-137897,TEC-AC-10001267,59.9,2,0%,,1
US-2014-138247,OFF-ST-10002301,20.34,1,0%,credit_card,1
CA-2016-116344,OFF-ST-10001713,84.784,2,20%,credit_card,1
CA-2015-150875,FUR-TA-10000577,696.42,2,0%,credit_card,4
CA-2017-145807,OFF-ST-10001370,354.9,5,0%,credit_card,2
US-2017-118535,OFF-LA-10001297,20.7,2,0%,credit_card,10
CA-2014-140228,OFF-ST-10001128,177.568,2,20%,credit_card,3
CA-2016-127761,TEC-PH-10003691,881.93,7,0%,credit_card,10
CA-2016-109365,OFF-AP-10002998,43.32,2,0%,credit_card,10
CA-2015-121720,OFF-ST-10003816,563.808,4,20%,credit_card,5
CA-2017-121293,FUR-FU-10000732,20.096,4,20%,credit_card,2
US-2016-114230,OFF-ST-10000876,39.808,4,20%,credit_card,3
CA-2016-166674,OFF-AR-10003156,30.48,3,0%,credit_card,5
CA-2017-152786,OFF-BI-10000829,40.41,9,0%,credit_card,2
US-2015-123218,FUR-BO-10003966,359.058,3,30%,,1
CA-2015-141768,FUR-FU-10002268,14.73,3,0%,credit_card,7
CA-2017-143574,FUR-FU-10003976,25.16,2,0%,credit_card,6
CA-2015-128167,OFF-FA-10000490,4.96,4,0%,credit_card,1
CA-2015-164497,OFF-AP-10004655,45.28,4,0%,credit_card,1
US-2016-156692,OFF-AP-10002222,17.34,2,0%,credit_card,4
CA-2016-149279,OFF-PA-10003441,15.552,3,20%,credit_card,5
CA-2017-128363,OFF-FA-10003495,24.32,5,20%,credit_card,8
CA-2014-159310,OFF-SU-10004115,40.712,7,20%,credit_card,2
CA-2017-142671,OFF-BI-10004099,11.52,5,70%,credit_card,3
US-2016-156986,TEC-PH-10003800,84.784,2,20%,credit_card,5
CA-2015-152527,OFF-ST-10003479,77.88,2,0%,credit_card,5
CA-2014-145317,TEC-MA-10002412,22638.48,6,50%,credit_card,4
CA-2015-124800,OFF-BI-10000778,72.588,2,70%,credit_card,1
CA-2017-132178,OFF-ST-10000025,763.44,8,0%,,1
CA-2017-107727,OFF-PA-10000249,29.472,3,20%,,3
CA-2017-103065,OFF-PA-10000380,6.672,1,20%,credit_card,5
US-2015-150630,OFF-BI-10000474,9.618,2,70%,,1
CA-2016-140438,TEC-PH-10001750,197.97,3,0%,credit_card,6
CA-2015-144267,FUR-CH-10002335,544.008,3,20%,credit_card,2
US-2017-155425,OFF-BI-10001036,38.388,14,70%,credit_card,2
CA-2016-136329,FUR-CH-10002335,408.006,2,10%,credit_card,2
CA-2014-147235,OFF-PA-10004948,24.9,5,0%,credit_card,3
CA-2016-101378,TEC-AC-10002345,29.0,2,0%,credit_card,2
CA-2014-134726,TEC-PH-10001750,52.792,1,20%,credit_card,5
US-2014-165862,FUR-TA-10002855,351.216,3,20%,credit_card,2
CA-2017-132934,TEC-AC-10000927,149.95,5,0%,credit_card,8
CA-2015-110289,OFF-EN-10001434,210.84,4,0%,credit_card,6
US-2015-142020,FUR-FU-10000672,35.28,3,0%,credit_card,2
CA-2017-100433,OFF-PA-10003441,25.92,4,0%,credit_card,1
CA-2017-118542,OFF-BI-10003429,10.128,2,20%,credit_card,2
CA-2015-110345,OFF-LA-10001175,4.608,2,20%,credit_card,4
CA-2017-160927,OFF-ST-10001590,13.48,1,0%,credit_card,2
US-2017-141558,OFF-BI-10002794,12.294,1,70%,credit_card,2
US-2015-137960,TEC-AC-10002253,166.24,1,0%,credit_card,3
CA-2016-119865,OFF-BI-10001553,36.56,5,20%,credit_card,10
CA-2016-137176,FUR-FU-10003832,15.008,4,60%,credit_card,4
CA-2017-138464,OFF-BI-10001543,86.376,3,20%,credit_card,1
CA-2015-107937,FUR-FU-10002298,665.88,6,0%,credit_card,5
CA-2017-152275,OFF-AR-10000369,6.672,6,20%,credit_card,1
CA-2017-145506,OFF-ST-10004963,136.26,9,0%,credit_card,2
US-2017-149006,OFF-ST-10003221,10.68,1,0%,credit_card,3
US-2016-123750,OFF-ST-10000617,4.768,2,20%,credit_card,4
CA-2016-128531,OFF-ST-10001325,41.92,5,20%,credit_card,1
US-2015-101511,OFF-SU-10002189,15.88,5,20%,credit_card,2
US-2014-146353,OFF-BI-10003476,22.92,4,0%,credit_card,3
CA-2015-169397,TEC-MA-10001148,479.988,4,70%,credit_card,2
US-2016-116365,TEC-AC-10002942,165.6,3,20%,credit_card,1
CA-2017-123491,OFF-AP-10002684,1702.12,14,0%,credit_card,5
CA-2014-169775,OFF-BI-10004390,505.176,4,70%,credit_card,2
US-2014-138758,FUR-CH-10002880,172.186,2,30%,credit_card,1
US-2017-139465,OFF-ST-10002352,63.84,8,0%,credit_card,10
