order_id,customer_id,vendor_id,ship_mode,order_status,order_purchase_date,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date
CA-2015-130554,SC-20770,VEN01,First Class,delivered,2017-09-29 18:38,2017-09-29 18:49,2017-10-02 19:58,2017-10-06 16:19
CA-2017-101049,CC-12430,VEN02,Second Class,delivered,2017-03-05 21:24,2017-03-05 21:35,2017-03-06 8:41,2017-03-14 18:12
CA-2016-138282,BE-11335,VEN02,Standard Class,delivered,2018-06-17 21:02,2018-06-17 21:15,2018-06-18 11:17,2018-06-27 18:05
CA-2016-125738,PJ-19015,VEN02,Standard Class,delivered,2018-06-26 12:37,2018-06-26 12:56,2018-06-29 14:16,2018-07-03 20:24
CA-2017-155159,MK-18160,VEN03,Second Class,delivered,2017-12-12 20:57,2017-12-12 21:11,2017-12-18 21:19,2018-01-03 18:32
CA-2015-114503,AA-10480,VEN02,Standard Class,delivered,2018-02-15 23:09,2018-02-17 3:47,2018-02-19 19:12,2018-02-28 22:13
CA-2016-104633,PB-19150,VEN02,Standard Class,delivered,2017-12-15 9:17,2017-12-15 9:28,2017-12-18 14:06,2017-12-30 16:10
US-2014-106299,PC-18745,VEN02,Standard Class,delivered,2018-08-06 16:56,2018-08-06 17:10,2018-08-09 16:12,2018-08-16 16:56
US-2017-110576,SJ-20125,VEN02,Standard Class,delivered,2018-04-27 21:36,2018-04-28 2:35,?,2018-05-08 17:35
CA-2014-120838,RD-19900,VEN02,Second Class,delivered,2018-07-22 12:31,2018-07-23 11:31,2018-07-23 16:55,2018-07-26 17:03
CA-2014-160773,JD-15895,VEN03,Standard Class,delivered,2017-11-02 22:46,2017-11-04 6:15,2017-11-08 21:21,2017-11-13 23:03
CA-2016-143476,FH-14365,VEN04,First Class,delivered,2017-07-21 21:14,2017-07-22 15:23,2017-07-25 19:48,2017-08-02 14:52
CA-2016-115504,JL-15175,VEN02,Standard Class,delivered,2018-01-16 13:33,2018-01-18 2:11,2018-01-19 0:38,2018-01-19 14:52
CA-2014-128839,EB-13705,VEN01,Standard Class,delivered,2018-03-17 15:19,2018-03-17 15:30,2018-03-19 21:42,2018-04-10 20:03
CA-2015-102778,BK-11260,VEN01,First Class,delivered,2017-07-24 21:55,2017-07-26 2:16,2017-07-28 14:49,2017-08-02 13:42
CA-2016-111605,DB-13120,VEN02,Standard Class,delivered,2018-04-03 11:59,2018-04-04 3:29,2018-04-18 22:24,2018-04-23 20:55
US-2014-115987,GM-14440,VEN02,Second Class,delivered,2018-02-27 13:26,2018-02-28 10:15,2018-03-02 14:03,2018-03-05 21:10
CA-2017-167871,AJ-10945,VEN02,Standard Class,delivered,2018-04-04 8:17,2018-04-06 3:15,2018-04-07 0:56,2018-04-14 17:12
CA-2015-113901,NF-18385,VEN03,Standard Class,delivered,2017-10-05 9:45,2017-10-07 2:25,2017-10-10 21:33,2017-10-21 14:53
CA-2017-142671,NK-18490,VEN02,Second Class,delivered,2017-11-21 2:03,2017-11-21 2:13,2017-11-22 16:55,2017-11-23 16:28
CA-2014-160066,BB-10990,VEN02,Standard Class,delivered,2018-08-04 10:42,2018-08-04 10:50,2018-08-06 15:17,2018-08-10 20:59
CA-2014-103702,AJ-10960,VEN02,Standard Class,delivered,2017-10-09 19:29,2017-10-09 19:42,2017-10-11 13:43,2017-10-24 17:59
US-2014-131275,AC-10420,VEN04,Standard Class,delivered,2018-01-10 21:50,2018-01-10 22:08,2018-01-30 22:44,2018-02-08 23:13
CA-2014-125759,NK-18490,VEN04,First Class,delivered,2018-08-18 22:35,2018-08-20 10:50,2018-08-21 14:40,2018-08-24 19:08
CA-2017-141481,GH-14485,VEN02,First Class,delivered,2018-08-02 12:32,2018-08-02 13:23,2018-08-03 12:20,2018-08-07 21:04
CA-2015-120782,AM-10360,VEN01,First Class,delivered,2018-04-15 23:20,2018-04-15 23:32,2018-04-16 23:21,2018-04-21 0:31
US-2017-151127,TH-21550,VEN02,First Class,delivered,2017-04-12 12:37,2017-04-13 6:35,2017-04-18 17:00,2017-06-27 14:43
CA-2014-127859,SC-20095,VEN01,Second Class,delivered,2018-04-25 2:15,2018-04-25 2:31,2018-04-25 14:17,2018-04-26 20:42
CA-2015-150308,VD-21670,VEN02,Standard Class,delivered,2017-10-13 10:22,2017-10-13 10:49,?,2017-10-24 19:13
