Order_ID,Product_ID,Sales,Quantity,discount,profit,payment_type,payment_installments
CA-2014-126480,OFF-PA-10004610,8.56,2,0.0,3.852,credit_card,8
CA-2014-160766,FUR-TA-10001039,464.292,9,0.4,-108.3348,credit_card,8
US-2017-110604,FUR-CH-10002017,42.624,2,0.2,4.2624,credit_card,1
CA-2015-102855,OFF-AR-10002467,23.84,8,0.0,6.4368,credit_card,2
US-2017-120418,FUR-CH-10001394,280.792,1,0.2,35.099,credit_card,5
CA-2017-101483,OFF-AR-10002833,4.368,3,0.2,0.3822,credit_card,3
CA-2016-161816,TEC-PH-10003012,369.576,?,0.2,41.5773,credit_card,8
US-2015-103996,TEC-AC-10003116,53.25,3,0.0,20.7675,credit_card,3
CA-2016-104311,OFF-LA-10000973,5.04,2,0.2,1.764,credit_card,3
CA-2017-134495,OFF-LA-10000262,6.264,3,0.2,2.0358,credit_card,1
CA-2014-122336,TEC-PH-10000702,71.928,?,0.4,8.3916,credit_card,NULL
CA-2016-127649,TEC-MA-10001972,837.6,3,0.2,62.82,credit_card,1
CA-2015-107083,OFF-AR-10002257,5.344,2,0.2,0.7348,credit_card,NULL
CA-2017-121314,OFF-PA-10003395,251.64,3,0.2,88.074,credit_card,5
CA-2017-155621,FUR-FU-10003535,274.2,10,0.0,112.422,credit_card,2
CA-2017-124114,OFF-BI-10004022,0.556,1,0.8,-0.9452,credit_card,1
US-2016-132577,OFF-BI-10004040,6.216,6,0.8,-9.6348,credit_card,4
CA-2016-155474,TEC-PH-10001580,107.984,1,0.2,9.4486,credit_card,6
CA-2017-157833,OFF-BI-10001721,51.312,3,0.2,17.9592,credit_card,3
CA-2015-136658,OFF-AR-10000817,6.08,2,0.0,2.0672,credit_card,4
CA-2014-167199,OFF-BI-10004632,609.98,2,0.0,274.491,credit_card,8
US-2017-110989,TEC-AC-10002345,43.5,3,0.0,10.875,credit_card,NULL
CA-2017-121580,OFF-PA-10004082,7.98,1,0.0,3.99,credit_card,5
CA-2014-107181,OFF-PA-10000350,34.24,4,0.0,16.0928,credit_card,8
CA-2017-132178,OFF-ST-10000464,69.52,2,0.0,19.4656,,1
CA-2017-102925,OFF-BI-10002735,164.688,6,0.2,55.5822,credit_card,8
CA-2015-119480,OFF-PA-10004996,51.55,5,0.0,24.2285,credit_card,10
US-2015-131359,TEC-CO-10001571,439.992,1,0.2,164.997,credit_card,NULL
CA-2017-127026,TEC-PH-10003601,164.99,1,0.0,49.497,credit_card,3
CA-2015-113131,OFF-AR-10003504,17.12,?,0.2,1.926,credit_card,10
CA-2015-144806,OFF-ST-10004804,247.104,6,0.2,-58.6872,credit_card,2
CA-2017-146626,FUR-FU-10002501,101.12,8,0.0,37.4144,credit_card,NULL
CA-2017-110198,FUR-BO-10001798,314.352,?,0.2,-15.7176,credit_card,5
CA-2014-138681,TEC-AC-10003628,71.976,3,0.2,21.5928,credit_card,2
CA-2015-154795,FUR-FU-10002088,14.368,2,0.2,3.9512,credit_card,6
CA-2017-166198,FUR-FU-10004622,162.6,3,0.0,34.146,credit_card,5
CA-2015-129322,OFF-BI-10001718,447.86,7,0.0,210.4942,credit_card,8
CA-2016-133935,OFF-PA-10000100,368.91,9,0.0,180.7659,credit_card,1
CA-2017-167101,TEC-AC-10001266,26.0,2,0.0,11.7,credit_card,2
CA-2016-143476,OFF-PA-10001667,9.568,2,0.2,2.99,credit_card,10
CA-2015-133977,OFF-BI-10003166,3.444,1,0.7,-2.5256,credit_card,5
CA-2017-164826,OFF-BI-10001922,33.264,7,0.2,11.2266,credit_card,10
CA-2016-131744,OFF-AP-10001394,453.6,?,0.2,90.72,credit_card,10
CA-2017-126354,OFF-PA-10004381,115.296,3,0.2,40.3536,voucher,1
CA-2016-132304,FUR-TA-10004619,1115.17,7,0.0,334.551,credit_card,3
CA-2017-131233,OFF-BI-10000829,10.776,3,0.2,3.5022,credit_card,7
US-2017-112347,FUR-BO-10003546,242.352,8,0.7,-363.528,credit_card,2
CA-2014-166086,OFF-BI-10001078,16.14,3,0.0,7.9086,credit_card,NULL
CA-2015-156734,OFF-BI-10002982,6.129,3,0.7,-4.4946,credit_card,2
US-2017-132031,FUR-BO-10001972,387.136,4,0.2,-14.5176,credit_card,5
CA-2017-104850,FUR-CH-10003774,291.136,4,0.2,-25.4744,credit_card,1
CA-2016-129126,OFF-LA-10003190,5.76,2,0.0,2.8224,credit_card,8
CA-2016-114601,TEC-AC-10003911,479.97,3,0.0,163.1898,credit_card,4
CA-2014-152100,FUR-CH-10000015,1212.96,8,0.3,-69.312,credit_card,2
CA-2017-152499,OFF-FA-10002975,15.12,5,0.2,4.914,credit_card,8
CA-2015-126557,TEC-PH-10003505,148.48,2,0.2,16.704,credit_card,3
CA-2014-153850,TEC-PH-10002584,1502.376,4,0.4,-250.396,credit_card,3
CA-2014-138072,TEC-AC-10004859,27.968,2,0.2,6.992,credit_card,1
CA-2017-104745,OFF-PA-10002036,25.92,?,0.2,9.396,credit_card,5
CA-2017-157987,TEC-PH-10003885,197.97,3,0.0,57.4113,credit_card,10
CA-2016-159940,FUR-FU-10004973,60.288,8,0.6,-27.1296,credit_card,4
CA-2016-101651,OFF-EN-10001990,39.76,7,0.0,18.6872,credit_card,10
CA-2015-130785,FUR-BO-10003159,293.199,3,0.15,-20.6964,credit_card,3
CA-2014-135608,OFF-PA-10001954,45.68,2,0.0,21.0128,credit_card,5
CA-2016-142097,OFF-EN-10002312,66.54,6,0.0,32.6046,credit_card,5
US-2016-158309,OFF-BI-10000145,3.744,4,0.7,-2.6208,credit_card,3
CA-2014-150203,OFF-AP-10001469,250.26,6,0.0,72.5754,credit_card,3
CA-2016-118052,OFF-PA-10002581,49.568,2,0.2,15.49,credit_card,6
US-2015-147662,OFF-BI-10001658,14.952,?,0.7,-11.9616,voucher,NULL
CA-2015-168529,FUR-FU-10001588,145.9,5,0.0,62.737,credit_card,NULL
CA-2017-143035,TEC-AC-10002049,371.97,3,0.0,66.9546,credit_card,3
CA-2016-109722,TEC-PH-10000560,699.98,2,0.0,195.9944,credit_card,3
CA-2017-121125,FUR-FU-10000820,13.592,?,0.2,-0.3398,credit_card,1
CA-2014-140032,OFF-BI-10000822,8.608,2,0.2,3.0128,credit_card,8
CA-2017-165204,OFF-PA-10003424,8.904,3,0.2,3.339,credit_card,1
CA-2015-125563,FUR-FU-10001290,67.36,2,0.2,10.104,credit_card,5
CA-2015-157343,OFF-AR-10003183,8.016,3,0.2,1.002,credit_card,1
CA-2014-158225,OFF-ST-10002301,40.68,?,0.0,0.4068,credit_card,8
CA-2015-154284,OFF-AR-10001468,59.904,2,0.2,14.2272,credit_card,NULL
CA-2015-141012,TEC-PH-10004522,140.376,3,0.2,8.7735,credit_card,1
US-2014-100279,OFF-PA-10002259,22.38,2,0.0,10.7424,credit_card,NULL
CA-2016-133613,OFF-BI-10002003,7.96,2,0.0,3.7412,credit_card,10
CA-2017-118017,OFF-SU-10004782,47.32,7,0.2,5.915,credit_card,1
